"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Session expires after clearing browser cookies","8735","Session expires after clearing browser cookies","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","sessionExpiredAfterCookieClear"
"Verify created test data can be deleted","2272","Verify created test data can be deleted","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","deleteTestRunData"
"Filter tests in run by status","33909","Filter tests in run by status","UI Regression tests","2026-07-19","passed","2026-07-19","Test runs functionality tests","UI Tests","tests.ui.TestRunTest","filterByStatusTest"
"Verify API authentication succeeds with valid credentials","5223","Verify API authentication succeeds with valid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkValidCredentialsAuthentication"
"Log out from the application","8752","Log out from the application","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","logOutTest"
"Create and then delete a project","15095","Create and then delete a project","UI Regression tests","2026-07-19","passed","2026-07-19","Project management functionality tests","UI Tests","tests.ui.ProjectsTest","createAndDeleteProjectTest"
"Verify a result can be added to a test run","1294","Verify a result can be added to a test run","API regression tests","2026-07-19","passed","2026-07-19","Test runs API functionality tests","API Tests","tests.api.TestRunAPITest","addResultForCase"
"Check milestone data","27612","Verify milestone data is displayed","UI Regression tests","2026-07-19","passed","2026-07-19","Milestones functionality tests","UI Tests","tests.ui.MilestoneTest","checkMilestoneDataTest"
"Login with invalid credentials shows error","5454","Login with invalid credentials shows error","UI Regression tests","2026-07-19","passed","2026-07-19","Authentication functionality tests","UI Tests","tests.ui.LoginTest","loginWithInvalidCredentialsTest"
"Verify API authentication fails with invalid credentials","1100","Verify API authentication fails with invalid credentials","API regression tests","2026-07-19","passed","2026-07-19","API authentication functionality tests","API Tests","tests.api.AuthAPITest","checkInvalidCredentialsAuthentication"
